name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
BODYMILK BIO-KAKAOBUTTER & BIO-MANGO,bevola naturals,Mann & Schröder GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Glycerin, Helianthus Annuus Hybrid Oil*, Alcohol, Cetearyl Alcohol, Glyceryl Stearate, Isoamyl Laurate, Triethyl Citrate, Tocopherol, Mangifera Indica Fruit Extract*, Butyrospermum Parkii Butter*, Theobroma Cacao Seed Butter*, Helianthus Annuus Seed Oil, Levulinic Acid, Parfum, Sodium Levulinate, Sodium Cetearyl Sulfate, Xanthan Gum, Glyceryl Caprylate, p-Anisic Acid, Linalool, Geraniol, Benzyl Benzoate, Sodium Hydroxide. 
     * of controlled biological cultivation",,,,
CISTROSE HYDROBOOSTER,farfalla,Farfalla Essentials AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, SQUALANE, ROSA DAMASCENA FLOWER WATER*, PENTYLENE GLYCOL, SIMMONDSIA CHINENSIS SEED OIL*, MAGNESIUM SULFATE, ALOE BARBADENSIS LEAF JUICE*, CISTUS LADANIFERUS TWIG OIL*, GLYCERIN, PARFUM, TOCOPHEROL, HELIANTHUS ANNUUS SEED OIL*, HYDROLYZED HYALURONIC ACID, XANTHAN GUM, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, ARGININE, CITRIC ACID, CITRONELLOL**, GERANIOL**, LINALOOL**, CITRAL**, LIMONENE**, BENZYL BENZOATE**, COUMARIN**. 
      * certified organic
    ** part of natural essential oils",,,,
COLLAGEN DROPS,Santaverde,Santaverde GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aloe Barbadensis Leaf Juice*, Lippia Citriodora Flower/Leaf/Stem Water*, Alcohol*, Glycerin, Salix Nigra Bark Extract, Collagen Amino Acids, Spirulina Maxima Extract, Sodium Hyaluronate, Leuconostoc/Radish Root Ferment Filtrate, Levulinic Acid, Chondrus Crispus Powder, Sodium Levulinate, Sodium Phytate, Sodium Hydroxide.
    * Certified organic

Main active ingredients
Santaverde Aloe Vera Direct Juice, Plant-Based Collagen Alternative, Spirulina Extract, Hyaluronic Acid",,,,
DUSCHGEL BIO-BIRNE & BIO-ORANGENBLÜTE,bevola naturals,Mann & Schröder GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Glycerin, Sodium Chloride, Betaine, Tocopherol, Ascorbyl Palmitate, Citrus Aurantium Amara Flower Extract*, Pyrus Communis Fruit Extract*, Parfum, Levulinic Acid, Glyceryl Oleate, Sodium Levulinate, Alcohol, Hydrogenated Palm Glycerides Citrate, Lecithin, p-Anisic Acid, Citric Acid, Sodium Hydroxide. 
     * of controlled biological cultivation",,,,
DUSCHGEL BIO-EUCALYPTUS & BIO-BERGAMOTTE,bevola naturals,Mann & Schröder GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Glycerin, Betaine Sodium Chloride, Tocopherol, Ascorbyl Palmitate, Eucalyptus Globulus Leaf Extract*, Levulinic Acid, Citrus Aurantium Bergamia Fruit Water*, Parfum, Glyceryl Oleate, Sodium Levulinate, Alcohol, Hydrogenated Palm Glycerides Citrate, Lecithin, p-Anisic Acid, Limonene, Citral, Citric Acid, Sodium Hydroxide. 
     * of controlled biological cultivation",,,,
EYE AREA CREAM - IMMORTELLE,OLIVAL FACECARE,Olival d.o.o.,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Caprylic/Capric Triglyceride, Sucrose Polystearate, Cetearyl Alcohol, Apricot Kernel Oil, Persea Gratissima Oil, Rubus Idaeus Seed Extract, Glycerin, Butyrospermum Parkii Butter, Sodium Stearoyl Glutamate, Argania Spinosa Kernel Oil, Benzyl Alcohol, Cetyl Palmitate, Xanthan Gum, Tocopherol, Papaver Rhoeas Extract, Helichrysum Italicum Flower Oil, Rosmarinus Officinalis Extract Leaf, Salicylic Acid, Sodium Chloride, Sorbic Acid, Limonene",,,,
HIPPIE ROSE DEO SPRAY,farfalla,Farfalla Essentials AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"ALCOHOL, AQUA, TRIETHYL CITRATE, POLYGLYCERYL-4 CAPRATE, GLYCERYL CAPRYLATE, ROSA DAMASCENA FLOWER WATER*, PARFUM, CITRIC ACID, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, ROSMARINUS OFFICINALIS LEAF EXTRACT*, SALVIA OFFICINALIS LEAF EXTRACT*, LIMONENE**, LINALOOL**, GERANIOL**, CITRONELLOL**, CITRAL**. 
      * certified organic
    ** part of natural essential oils",,,,
HIPPIE ROSE HAPPINESS DUSCHGEL,farfalla,Farfalla Essentials AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, COCO-GLUCOSIDE, ALCOHOL*, GLYCERIN, ROSA DAMASCENA FLOWER WATER*, CAPRYLYL/CAPRYL GLUCOSIDE, PARFUM, DISODIUM COCOYL GLUTAMATE, XANTHAN GUM, CITRIC ACID, LEVULINIC ACID, SODIUM COCOYL GLUTAMATE, SODIUM LEVULINATE, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, LIMONENE**, LINALOOL**, GERANIOL**, CITRONELLOL**. 
      * certified organic
    ** part of natural essential oils",,,,
HIPPIE ROSE KÖRPERLOTION,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","AQUA, SIMMONDSIA CHINENSIS SEED OIL*, PENTYLENE GLYCOL, GLYCERYL STEARATE CITRATE, ISOAMYL LAURATE, ROSA DAMASCENA FLOWER WATER*, CETEARYL ALCOHOL, ROSA CANINA FRUIT OIL*, CAPRYLIC/CAPRIC TRIGLYCERIDE, PARFUM, XANTHAN GUM, GLYCERIN, SUCROSE STEARATE, TOCOPHEROL, HELIANTHUS ANNUUS SEED OIL*, CITRIC ACID, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, LIMONENE**, LINALOOL**, GERANIOL**, CITRONELLOL**, CITRAL**, BENZYL BENZOATE**, COUMARIN**.
      * certified organic
    ** part of natural essential oils",,,,
LIPPENPFLEGESTIFT REPAIR & CARE,alviana Naturkosmetik,Bonano GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Ricinus Communis Seed Oil, Cocos Nucifera Oil*, Candelilla Cera, Simmondsia Chinensis Seed Oil*, Copernicia Cerifera Cera, Rhus Verniciflua Peel Cera, Butyrospermum Parkii Butter*, Olea Europaea Fruit Oil*, Anthyllis Vulneravia Flower Extract*, Helianthus Annuus Seed Oil*, Parfum**, Tocopherol
     * ingredients from certified organic agriculture
   ** from natural essential oils",,,,
MATTIFYING FLUID - IMMORTELLE,OLIVAL FACECARE,Olival d.o.o.,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Sucrose Polystearate, Squalane, Glycerin, Cetearyl Alcohol, Sodium Stearoyl Glutamate, Undecane, Camelina Sativa Seed Oil, Benzyl Alcohol, Tridecane, Cetyl Palmitate, Helichrysum Italicum Flower Oil, Thymus Vulgaris Flower/Leaf/Stem Extract, Xanthan Gum, Tocopherol, Sodium Chloride, Sorbic Acid, Citric Acid, Potassium Benzoate, Sodium Benzoate, Salicylic Acid, Helianus Annuus Seed Oil, Limonene",,,,
OLIVE OIL SOAP (FLAKES),Patounis Soap,Apostolos S. Patounis Traditional Olive Soap,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Olea europaea fruit oil, Aqua, Sodium hydroxide, Sodium chloride (sea salt)",,,,
PROBIOTIC DROPS,Santaverde,Santaverde GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aloe Barbadensis Leaf Juice*, Tilia Cordata Flower Water*, Alcohol*, Glycerin, Lactobacillus Ferment Lysate, Salix Nigra Bark Extract, Sodium Lactate, Prunus Armeniaca Kernel Oil*, Leuconostoc/Radish Root Ferment Filtrate, Sodium Hyaluronate, Lactic Acid, Levulinic Acid, Chondrus Crispus Powder, Sodium Levulinate, Sodium Phytate, Glucose, Sodium Hydroxide.
    * Certified organic

Main active ingredients
Santaverde Aloe Vera Direct Juice, Linden Blossom Hydrolate, Natural Probiotics, Hyaluronic Acid",,,,
REJUVENATE TARGETED WRINKLE TREATMENT,Amala,Amala LLC,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Lactobacillus/Cocoa Fruit Ferment Filtrate, Pentylene Glycol, Glycerin , Leuconostoc/Radish Root Ferment Filtrate,  Euterpe Oleracea Fruit Extract, Phyllanthus Emblica Extract, Lactobacillus Ferment, Paeonia Lactiflora Extract, Spirulina Platensis Extract, Leucojum Aestivum Bulb Extract, Camellia Sinensis Leaf Extract*,  Inulin, Sodium Hyaluronate, Lecithin, Alpha-Glucan Oligosaccharide, Zinc PCA, Lactobacillus, Fragrance (Parfum)+, Theobroma Cacao (Cocoa) Seed Extract*, Vanilla Planifolia Fruit Extract* org, Citrus Limon (Lemon) Peel Oil*, Rosa Damascena Flower Oil*, Cananga Odorata Flower Oil* org, Citrus Aurantium Bergamia (Bergamot) Peel Oil* , Acacia Senegal Gum, Xanthan Gum,  Limonene+, Linalool+, Colloidal Gold

*Ingredient produced by organic farming
+From 100% natural essential oils and extracts",,,,
SENSITIVE SUN LOTION SPF 30,lavera,Laverana GmbH & Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Coco-Caprylate/Caprate, Zinc Oxide, Pongamia Glabra Seed Oil, Dicaprylyl Ether, Helianthus Annuus (Sunflower) Hybrid Oil*, Alcohol* denat., Titanium Dioxide, Glycine Soja (Soybean) Oil*, Brassica Campestris/Aleurites Fordii Oil Copolymer, Polyhydroxystearic Acid, Hydrogenated Vegetable Oil, Stearic Acid, Cocos Nucifera (Coconut) Oil*, Mangifera Indica (Mango) Fruit Extract*, Carica Papaya (Papaya) Fruit Extract*, Glyceryl Oleate, Polyglyceryl-3 Polyricinoleate, Silica, Tocopherol, Water (Aqua), Helianthus Annuus (Sunflower) Seed Oil*, Pongamol, Oryzanol, Olea Europaea (Olive) Oil Unsaponifiables, Fragrance (Parfum)**, Limonene**, Linalool**, Geraniol**, Citronellol**, Citral**, Coumarin**, Eugenol**, Benzyl Benzoate**
      * ingredients from certified organic agriculture
    ** natural essential oils",,,,
SOLID BODYBUTTER VEGAN,4 PEOPLE WHO CARE,4peoplewhocare UG (haftungsbeschränkt),Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Theobroma Cacao (Cocoa) Seed Butter [1], Butyrospermum Parkii (Shea) Butter [1], Copernica Cerifera (Carnauba) Wax [1], Hippophae Rhamnoides Seed Oil [1], Limonene [2], Citrus Aurantium Dulcis (sweet Orange) Peel [1], Mentha Piperita (Peppermint) Oil [1], Linalool [2].
     [1]   of controlled biological cultivation 
     [2]   from natural essential oils",,,,
SOLID FOOTCREAM VEGAN,4 PEOPLE WHO CARE,4peoplewhocare UG (haftungsbeschränkt),Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Butyrospermum Parkii Butter*, Helianthus Annuus Seed Oil*, Copernicia Cerifera Cera*, Olea Europaea Fruit Oil*, Cannabis Sativa Seed Oil*, Abies Alba Leaf Oil*, Eucalyptus Radiata Flower/Leaf/Stem Oil*, Salvia Sclarea Oil*, Limonene**, Linalool**, Geraniol** 
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
TUJU SCHWANGERSCHAFTS STREIFENÖL,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Oryza Sativa (Rice) Bran Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Rosa Canina Seed Extract, Hippophae Rhamnoides Fruit Extract, Helianthus Annuus (Sunflower) Seed Oil, Limonene*, Parfum (Fragrance)*, Rosmarinus Officinalis (Rosemary) Leaf Extract, Linalool*, Geraniol*, Alcohol, Citronellol*
     * Duftstoffe natürlicher Herkunft 

Main ingredients
Rice Bran Oil, Meadowfoam Seed Oil, Sea Buckthorn Extract, Rose Hip Extract",,,,
TUJU SENSITIV-PFLEGEBUTTER,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Sesamum Indicum (Sesame) Seed Oil, Oryza Sativa (Rice) Bran Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Hydrogenated Vegetable Oil, Octyldodecanol, Helianthus Annuus (Sunflower) Seed Oil, Hippophae Rhamnoides Fruit Extract, Ribes Nigrum (Black Currant) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Alcohol

Main ingredients
This rich body butter with the DEFENSIL®-PLUS formula even moisturises skin that is prone to neurodermatitis, soothing it and strengthening its natural protective function.",,,,
TUJU STREICHELZART-ÖLBAD,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Oryza Sativa (Rice) Bran Oil, Polyglyceryl-3 Diisostearate, Chamomilla Recutita (Matricaria) Flower Extract, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Alcohol

Main ingredients
Rice Bran Oil, Camomile Flower Extract",,,,
TUJU WIND- UND WETTERCREME,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Citrus Aurantium Dulcis (Orange) Fruit Water, Oryza Sativa (Rice) Bran Oil, Coco-Caprylate/Caprate, Vitis Vinifera (Grape) Seed Oil, Betaine, Glycerin, Polyglyceryl-3 Polyricinoleate, Pentylene Glycol, Sorbitan Oleate, Hippophae Rhamnoides Fruit Extract, Bisabolol, Hydrogenated Castor Oil, Sodium Levulinate, Jojoba Esters, Magnesium Sulfate, Helianthus Annuus (Sunflower) Seed Wax, Sodium Anisate, Helianthus Annuus (Sunflower) Seed Oil, Acacia Decurrens Flower Wax, Polyglycerin-3, Citric Acid, Rosmarinus Officinalis (Rosemary) Leaf Extract, Alcohol

Main ingredients
Rice Bran Oil, Grape Seed Oil, Sea Buckthorn Extract, Bisabolol",,,,
TUJU WOHLFÜHL-BODYLOTION,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Glycerin, Sesamum Indicum (Sesame) Seed Oil, Oryza Sativa (Rice) Bran Oil, Coco-Caprylate/Caprate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Betaine, Alcohol, Shorea Stenoptera Seed Butter, Limnanthes Alba (Meadowfoam) Seed Oil, Sodium Levulinate, Glyceryl Stearate, Rosa Canina Seed Extract, Hippophae Rhamnoides Fruit Extract, Camellia Sinensis Leaf Extract, Dipotassium Glycyrrhizate, Xanthan Gum, Glyceryl Caprylate, Cetearyl Glucoside, Sodium Anisate, Sodium Stearoyl Glutamate, Limonene*, Helianthus Annuus (Sunflower) Seed Oil, Citric Acid, Parfum (Fragrance)*, Levulinic Acid, Rosmarinus Officinalis (Rosemary) Leaf Extract, Linalool*, Geraniol*, Citronellol*, Glucose
     * fragrances of natural origin

Main ingredients
Rice Bran Oil, Meadowfoam Seed Oil, Sea Buckthorn Extract, Rose Hip Extract, Green Tea Extract",,,,
VITAL NACHTCREME BIO-GRANATAPFEL,bevola naturals,Femia Cosmetic Vertriebsgesellschaft mbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Helianthus Annuus Seed Oil****, Prunus Amygdalus Dulcis Oil****, Glyceryl Stearate Citrate, Alcohol****, Decyl Oleate, Cocoglycerides, Cetearyl Alcohol, Glycerin, Coco-Caprylate, Glycine Soja Oil****, Caprylic/Capric Triglyceride, Sodium Levulinate, Xanthan Gum, Levulinic Acid, Parfum, Sodium Anisate, Linalool, Limonene, Alaria Esculenta Extract, Punica Granatum Fruit Extract****, Tocopherol, Benzyl Alcohol, Geranoil, Citral.
     * of controlled biological cultivation",,,,
24H FEUCHTIGKEITSCREME,bevola naturals,Femia Cosmetic Vertriebsgesellschaft mbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Aloe Barbadensis Leaf Juice***, Helianthus Annuus Seed Oil***, Glycerin, Potassium Cetyl Phosphate, Betaine, Coco-Caprylate, Cetearyl Alcohol, Hydrogenated Palm Glycerides, Butyrospermum Parkii Butter, Olea Europaea Fruit Oil***, Sodium Benzoate, Xanthan Gum, Parfum, Citric Acid, Potassium Sorbate, Tocopherol, Linalool, Sodium Hyaluronate, Limonene, Benzyl Alcohol, Geraniol, Benzyl Salicylate. 
     *** of controlled biological cultivation",,,,
5 IN 1 MUNDSPÜLUNG BIO-MINZE,bevola naturals,Mann & Schröder GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sorbitol, Glycerin, Betaine, Sodium Fluoride, Salvia Officinalis Leaf Extract**, Levulinic Acid, Aroma, Dipotassium Glycyrrhizate, Xylitol, Mentha Piperita Oil**, Mentha Arvensis Leaf Oil**, Sodium Levulinate, Zinc PCA, Polyglyceryl-4 Caprate, Polyglyceryl-6 Carprylate, Limonene. 
     ** of controlled biological cultivation",,,,
ALVERDE NATURKOSMETIK FESTE HANDPFLEGE MIT SANDDORN-DUFT,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Theobroma (Cacao) Seed Butter*, Butyrospermum Parkii (Shea) Butter*, Cera Alba, Prunus Amygdalus Dulcis Oil, Zea Mays Starch, Parfum**, Laminara Saccharina Extract,l Aqua, Propanediol, Limonene**, Citral**, Linalool**, Citronellol**
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
BAD DÜRRHEIM - SALZQUELL - REINIGUNGSMILCH,SALZQUELL®,von Häring Naturkosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Glycine Soja (Soybean) Oil, Aloe Barbadensis Leaf Juice *, Glycerin Cetearyl Alcohol Polyglyceryl-3 Stearate, Helianthus Annuus (Sunflower) Seed Oil, Propanediol Calendula Officinalis Flower Extract *, Chamomilla Recutita (Matricaria) Flower Extract, Maris Sal (Sea Salt), Cymbopogon Flexuosus Herb Oil, Cymbopogon Martini Herb Oil, Amyris Balsamifera Bark Oil, Tocopherol, Xanthan Gum, Sodium Hydroxide, Glyceryl Caprylate, Glyceryl Undecylenate, Citric Acid Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Citral **, Geraniol **, Linalool **, Farnesol **, Limonene **, Isoeugenol **
     *from natural essential oils",,,,
BALMYOU LIPS,balmyou,balmyou GmbH & Co KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Butyrospermum parkii butter*, Moringa Oleifera Seed Oil**, Theobroma Cacao Seed Butter**, Helianthus Annuus Seed Wax
    * from wild collection in Uganda
   ** from sustainable cultivation",,,,
BELLY CARESS POWER CONCENTRATE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil* org, Coriandrum Sativum (Coriander) Fruit Oil* org, Origanum Majorana Leaf Oil* org, Linalool**, Anthemis Nobilis Flower Oil* org, Pimpinella Anisum (Anise) Seed Oil* org, Limonene**, Geraniol**, Citral**, Eugenol**
     * org = certified organic cultivation
   ** from 100% natural essential oils",,,,
BI GOOD NAGELLACKENTFERNER ROSMARIN,bi good,PURE GREEN GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Alcohol, Ethyl Lactate, Ricinus Communis Seed Oil, Aqua, Rosmarinus Officinalis Leaf Oil, Lavandula Hybrida Oil, Linalool, Limonene.",,,,
BI GOOD NATÜRLICHE ALLES IN 1 MUNDSPÜLUNG GRÜNER TEE,bi good,PURE GREEN GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, XYLITOL, GLYCERIN**, ALOE BARBADENSIS LEAF JUICE*, POLYGLYCERYL-10 LAURATE, SODIUM BENZOATE, CAMELLIA SINENSIS LEAF EXTRACT*, POTASSIUM SORBATE, CITRIC ACID, EUCALYPTUS GLOBULUS LEAF OIL, MENTHOL.
     * of controlled biological cultivation 
   ** from natural essential oils
        PRESERVED WITH: SODIUM BENZOATE, POTASSIUM SORBATE.",,,,
CLEANSING EMULSION PINK POMELO,cosnature,Cosmolux Deutschland GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Glycerin, Alcohol, Helianthus Annuus Seed Oil*, Caprylyl/Capryl Glucoside, Prunus Amygdalus Dulcis Oil*, Sodium Hyaluronate, Lactic Acid, Ascorbyl Glucoside, Citrus Limon Fruit Extract*, Citrus Paradisi Fruit Extract*, Xanthan Gum, Ceterayl Alcohol, Glyceryl Undecylenate, Sodium Cetearyl Sulfate, Levulinic Acid, Sodium Levulinate, Parfum**, Limonene**, Citral**
     *of controlled biological cultivation
   ** natural essential oils",,,,
DUSCHGEL BIO-LAVENDEL & BIO-ROSMARIN,bevola naturals,Mann & Schröder GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Sodium Chloride, Glycerin, Betaine, Tocopherol, Ascorbyl Palmitate, Rosmarinus Officinclis Leaf Extract*, Lavandula Angustifolia Flower Extract*, Parfum, Levulinic Acid, Linolool, Glyceryl Oleate, Sodium Levulinate, Alcohol, Hydrogenated Palm Glycerides Citrate, Lecithin, p-Anisic Acid, Limonene, Citric Acid, Sodium Hydroxide.
     * of controlled biological cultivation",,,,
EYELINER AUTOMATIC 01 SCHWARZ,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"RICINUS COMMUNIS SEED OIL, ISOAMYL LAURATE, COPERNICIA CERIFERA CERA, CANDELILLA CERA, CERA ALBA, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYGLYCERYL-3 DIISOSTEARATE, SIMMONDSIA CHINENSIS SEED OIL, TOCOPHEROL, HELIANTHUS ANNUUS SEED OIL, ASCORBYL PALMITATE, CI 77499, CI 77007",,,,
EYELINER AUTOMATIC 02 GRAU,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"RICINUS COMMUNIS SEED OIL, ISOAMYL LAURATE, COPERNICIA CERIFERA CERA, CANDELILLA CERA, CERA ALBA, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYGLYCERYL-3 DIISOSTEARATE, SIMMONDSIA CHINENSIS SEED OIL, TALC, TOCOPHEROL, HELIANTHUS ANNUUS SEED OIL, ASCORBYL PALMITATE, CI 77891, CI 77499, CI 77492, CI 77742, CI 77491",,,,
EYELINER AUTOMATIC 03 BRAUN,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"RICINUS COMMUNIS SEED OIL, ISOAMYL LAURATE, COPERNICIA CERIFERA CERA, CANDELILLA CERA, CERA ALBA, CAPRYLIC/CAPRIC TRIGLYCERIDE, SIMMONDSIA CHINENSIS SEED OIL, POLYGLYCERYL-3 DIISOSTEARATE, TALC, TOCOPHEROL, HELIANTHUS ANNUUS SEED OIL, ASCORBYL PALMITATE, CI 77499, CI 77491, CI 77891, CI 77492, CI 77288",,,,
FESTER CONDITIONER KOKOS,Cien nature,Ideapro GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Sodium Cocosulfate, Cetearyl  Alcohol, Glycerin, Prunus Amygdalus Seed Oil Tartaric Acid, Tapioca Starch, Zea Mays Starch, Talc, Inulin, Partum, Theobroma Cacao Seed Butter. Butyrospermum Parkii Seed Butter. Cocos Nucifera Oil., Linalool. Limonene.",,,,
FESTER CONDITIONER MANDARINE BASILIKUM,Cien nature,Ideapro GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Sodium Cocosulfate, Cetearyl Alcohol, Glycerin, Prunus Amygdalus Seed Oil, Tartaric Acid, Tapioka Starch, Zea Mays Starch, Talc, Inulin, Parfum, Theobroma Cacao Seed Butter, Butyrospermum Parkii Seed Butter, Citrus Retuculata Peel Oil, Ocium Basilicum, Linalool, Limonene, Citral.",,,,
FESTES SHAMPOO SENSITIV,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Sodium Coco-Sulfate, Tartaric Acid, Olea Europea Fruit Oil*, Sodium Lauroyl Glutamate, Tapioca Starch, Butyrospermum Parkii Butter*, Oryza Sativa Bran Powder, Hydrated Silica, Prunus Amygdalus Dulcis Oil, Talc.
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
FESTE DUSCHE GRAPEFRUIT,Alterra Naturkosmetik,Dirk Rossmann GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"SODIUM COCO-SULFATE, SODIUM LAUROYL GLUTAMATE, TARTARIC ACID, OLEA EUROPEA FRUIT OIL*, PRUNUS AMYGDALUS DULCIS OIL, THEOBROMA COCAO SEED BUTTER*, BUTYROSPERMUM PARKII BUTTER*, TOCOPHEROL, PARFUM**, CITRUS PARADISI FRUIT EXTRACT*, MALTODEXTRIN, LIMONENE, CITRAL.
      * ingredients from certified organic agriculture 
     ** from natural essential oils",,,,
FEUCHTIGKEIT SHAMPOO BIO-DACHROSE & GURKE,Herbalind,Dreiturm GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco- Glucoside, Betaine, Sodium Chloride, Inulin, Citric Acid, Sempervivum Tectorum Extract, Cucumis Sativus Fruit Extract, Beta Vulgaris Root Extract, Fructooligosaccharides, Potassium Lactate, Lactic Acid, Lauroyl Arginine, Glyceryl Oleate, Glycerin, Sodium Phytate, Tocopherol, Hydrogenated Palm Glycerides Citrate, Potassium Sorbate, Sodium Benzoate, Parfum, Linalool.",,,,
